Release 6.3.03i - Par G.38
Copyright (c) 1995-2004 Xilinx, Inc.  All rights reserved.

Fri Jan 04 18:42:46 2008


NOTE: This file is designed to be imported into a spreadsheet program
such as Microsoft Excel for viewing, printing and sorting. The ,
character is used as the data field separator. This file is also designed
to support parsing.

INPUT FILE:       oscilloscope_map.ncd
OUTPUT FILE:      oscilloscope_pad.csv
PART TYPE:        xc2s50
SPEED GRADE:      -5
PACKAGE:          pq208

Pinout by Pin Number:

-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,Drive (mA),Slew Rate,Termination,IOB Delay,Voltage,Constraint,
P1,,,GND,,,,,,,,,,
P2,,,TMS,,,,,,,,,,
P3,,IOB,,UNUSED,,(0,7)***,,,,,,,
P4,,IOB,,UNUSED,,(0,7)***,,,,,,,
P5,,IOB,,UNUSED,,(0,7)***,,,,,,,
P6,,IOB,IO_VREF_7,UNUSED,,(0,7)***,,,,,,,
P7,,IOB,,UNUSED,,(0,7)***,,,,,,,
P8,,IOB,,UNUSED,,(0,7)***,,,,,,,
P9,,IOB,,UNUSED,,(0,7)***,,,,,,,
P10,,IOB,,UNUSED,,(0,7)***,,,,,,,
P11,,,GND,,,,,,,,,,
P12,,,VCCO,,,0,,,,,3.30,,
P13,,,VCCINT,,,,,,,,2.5,,
P14,,IOB,,UNUSED,,(0,7)***,,,,,,,
P15,,IOB,,UNUSED,,(0,7)***,,,,,,,
P16,,IOB,,UNUSED,,(0,7)***,,,,,,,
P17,,IOB,,UNUSED,,(0,7)***,,,,,,,
P18,,IOB,,UNUSED,,(0,7)***,,,,,,,
P19,,,GND,,,,,,,,,,
P20,,IOB,IO_VREF_7,UNUSED,,(0,7)***,,,,,,,
P21,,IOB,,UNUSED,,(0,7)***,,,,,,,
P22,,IOB,,UNUSED,,(0,7)***,,,,,,,
P23,,IOB,,UNUSED,,(0,7)***,,,,,,,
P24,,PCIIOB,IO_IRDY,UNUSED,,(0,7)***,,,,,,,
P25,,,GND,,,,,,,,,,
P26,,,VCCO,,,0,,,,,3.30,,
P27,vs,IOB,IO_TRDY,OUTPUT,LVTTL,(0,6)***,12,SLOW,NONE**,,,LOCATED,
P28,,,VCCINT,,,,,,,,2.5,,
P29,hs,IOB,,OUTPUT,LVTTL,(0,6)***,12,SLOW,NONE**,,,LOCATED,
P30,blu,IOB,,OUTPUT,LVTTL,(0,6)***,12,SLOW,NONE**,,,LOCATED,
P31,grn,IOB,IO_VREF_6,OUTPUT,LVTTL,(0,6)***,12,SLOW,NONE**,,,LOCATED,
P32,,,GND,,,,,,,,,,
P33,red,IOB,,OUTPUT,LVTTL,(0,6)***,12,SLOW,NONE**,,,LOCATED,
P34,,IOB,,UNUSED,,(0,6)***,,,,,,,
P35,,IOB,,UNUSED,,(0,6)***,,,,,,,
P36,,IOB,,UNUSED,,(0,6)***,,,,,,,
P37,,IOB,,UNUSED,,(0,6)***,,,,,,,
P38,,,VCCINT,,,,,,,,2.5,,
P39,,,VCCO,,,0,,,,,3.30,,
